Basis#,Individual_Energy_in_Basis(%),Cummulative_Energy_in_Basis_upto_Current_Basis(%), Eigen_Values
145,5.49264e-08,100, 9.15523e-11
146,5.19725e-08,100, 8.66287e-11
147,4.1046e-08,100, 6.84163e-11
148,3.96094e-08,100, 6.60217e-11
149,3.51295e-08,100, 5.85545e-11
150,3.46805e-08,100, 5.78062e-11
151,2.88437e-08,100, 4.80772e-11
152,2.18585e-08,100, 3.64341e-11
153,2.06027e-08,100, 3.43409e-11
154,1.95844e-08,100, 3.26437e-11
155,1.75184e-08,100, 2.92e-11
156,1.65293e-08,100, 2.75514e-11
157,1.55733e-08,100, 2.59579e-11
158,1.40014e-08,100, 2.33378e-11
159,1.3015e-08,100, 2.16937e-11
160,1.24622e-08,100, 2.07723e-11
161,1.16796e-08,100, 1.94678e-11
162,1.07557e-08,100, 1.79278e-11
163,1.03723e-08,100, 1.72888e-11
164,9.72265e-09,100, 1.62059e-11
165,8.8255e-09,100, 1.47105e-11
166,8.2984e-09,100, 1.38319e-11
167,7.74487e-09,100, 1.29093e-11
168,7.43511e-09,100, 1.2393e-11
169,7.27309e-09,100, 1.21229e-11
170,6.87533e-09,100, 1.14599e-11
171,6.73924e-09,100, 1.12331e-11
172,6.12071e-09,100, 1.02021e-11
173,5.92112e-09,100, 9.86943e-12
174,5.52657e-09,100, 9.21179e-12
175,5.08451e-09,100, 8.47496e-12
176,4.88447e-09,100, 8.14152e-12
177,4.37065e-09,100, 7.28509e-12
178,4.22123e-09,100, 7.03603e-12
179,3.97522e-09,100, 6.62598e-12
180,3.87134e-09,100, 6.45283e-12
181,3.57315e-09,100, 5.9558e-12
182,3.53697e-09,100, 5.89548e-12
183,3.35258e-09,100, 5.58815e-12
184,3.12073e-09,100, 5.20169e-12
185,3.02747e-09,100, 5.04624e-12
186,2.96787e-09,100, 4.9469e-12
187,2.87613e-09,100, 4.79399e-12
188,2.75669e-09,100, 4.5949e-12
189,2.73818e-09,100, 4.56405e-12
190,2.55156e-09,100, 4.25298e-12
191,2.46187e-09,100, 4.1035e-12
192,2.39328e-09,100, 3.98917e-12
193,2.31201e-09,100, 3.8537e-12
194,2.20814e-09,100, 3.68056e-12
195,2.14583e-09,100, 3.5767e-12
196,1.99241e-09,100, 3.32099e-12
197,1.95789e-09,100, 3.26344e-12
198,1.86039e-09,100, 3.10093e-12
199,1.80697e-09,100, 3.01189e-12
200,1.76093e-09,100, 2.93515e-12
201,1.69513e-09,100, 2.82548e-12
